"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0056 - 1","57","239.39","391.09","63.15","80.84","376.5","481.98","0.83","0.86","0.15","0.09","1.44","2.01","1.57","1.77","610.2","609.3"
"ID0056 - 1","55.5","250.53","413.21","65.2","84.85","366.5","476.98","0.87","0.88","0.14","0.09","1.16","1.91","1.67","2.01","590.4","590.4"
"ID0056 - 1","56","263.17","399.53","64.2","81.82","374","476.64","0.85","0.86","0.15","0.09","1.28","1.85","1.61","1.81","615.7","617.3"
"ID0056 - 2","55","251.67","406.28","55.95","77.58","344.5","477.69","0.9","0.88","0.1","0.03","1.22","2.14","1.61","1.88","520.1","520.7"
"ID0056 - 2","55","468.48","619.63","57.2","81.95","351.5","503.58","0.95","0.95","0.1","0.1","1.16","2.09","1.09","1.85","487.2","487.8"
"ID0056 - 2","54","476.54","627.14","59.1","83.57","344.5","487.15","0.95","0.94","0.11","0.11","1.16","2.09","1.06","1.82","500.1","500"
"ID0056 - 2","54.5","464.57","613.06","56.9","80.47","338","478","0.93","0.91","0.11","0.04","1.21","2.19","1.06","1.81","500","499.4"
"ID0171 - 1","57.5","229.27","426.04","91.3","107.9","359.5","424.86","1.33","0.96","0.22","0.22","0.95","1.27","1.8","2.05","716","719.9"
"ID0171 - 1","56.5","220.62","420.85","78.2","93.76","354","424.45","1.38","1.02","0.21","0.2","0.87","1.22","1.8","1.79","695.6","697"
"ID0171 - 1","57.5","194.46","418.04","85.5","99.56","386","449.48","1.36","0.99","0.21","0.21","0.82","1.2","1.71","2.03","737.5","730.6"
"ID0171 - 1","57.5","236.9","434.61","81","96.18","375","445.29","1.32","0.97","0.23","0.23","1.13","1.34","1.83","1.69","709.2","715.7"
"ID0171 - 2","56","264.11","446.52","86.1","109.07","335","424.36","1.34","0.98","0.19","0.17","1.09","1.37","1.86","2.11","623.2","623.2"
"ID0171 - 2","57.5","215.26","426.91","88.7","106.97","334.5","403.39","1.38","1","0.2","0.22","0.91","1.4","1.81","1.93","687.6","687.8"
"ID0171 - 2","57","238.51","449.54","90.65","113.2","324","404.59","1.37","0.99","0.2","0.21","0.93","1.37","1.84","1.95","641.3","643.2"
"ID0171 - 2","57","216.11","421.26","88.85","108.18","329.5","401.17","1.38","1","0.2","0.2","0.85","1.37","1.77","1.88","674.6","673.3"
"ID0169 - 1","56","201.98","406.89","71.4","83.84","255.5","300.03","1.42","1.15","0.27","0.25","0.67","1.03","1.84","1.81","725.2","727"
"ID0169 - 1","57","202.1","382.92","71.6","80.17","396.5","443.94","1.39","1.14","0.31","0.27","0.88","1.11","1.83","1.83","797.7","797.5"
"ID0169 - 1","57","206.69","388.74","70","78.42","365.5","409.46","1.43","1.17","0.32","0.29","0.67","1.05","1.88","1.85","796.8","795.8"
"ID0169 - 1","56.5","191.04","381.54","68.3","74.35","304","330.92","1.47","1.21","0.32","0.31","0.85","1.01","1.86","1.79","843.9","843.9"
"ID0169 - 2","56","202.03","389.76","69.55","79.61","362.5","414.94","1.41","1.15","0.3","0.28","0.7","1.09","1.85","1.78","763.2","762.8"
"ID0169 - 2","56","191.07","402.7","72.7","87.92","358","432.93","1.41","1.15","0.28","0.27","0.59","1.04","1.8","1.66","683.8","683.8"
"ID0169 - 2","57","191.09","390.63","70.75","79.76","388.5","437.98","1.44","1.18","0.31","0.31","0.83","1.09","1.86","1.88","786.8","786.5"
"ID0169 - 2","57","179.47","386.24","70.6","78.7","373","415.78","1.44","1.17","0.31","0.32","0.66","1.06","1.8","1.74","804.8","804.2"
"ID0009 - 1","59","214.43","389.3","66.3","81.94","372.5","460.37","0.97","0.86","0.16","0.14","1.87","2.64","1.76","1.89","654.7","654.7"
"ID0009 - 1","60.5","191.55","394.95","68","84.85","377.5","471.07","0.99","0.87","0.16","0.16","1.85","2.57","1.74","1.91","642.2","642.1"
"ID0009 - 1","61","199.44","395.12","66.75","83.46","373","466.4","0.99","0.88","0.16","0.17","1.75","2.47","1.76","1.84","639.6","639.7"
"ID0009 - 1","60.5","214.34","394.19","68.8","84.75","392","482.88","0.99","0.86","0.17","0.16","1.91","2.64","1.82","1.94","659","659.1"
"ID0009 - 2","61","234.08","390.54","67.7","84.07","372.5","462.56","0.99","0.87","0.19","0.17","1.85","2.55","1.88","1.89","648.5","648"
"ID0009 - 2","62.5","194.8","389.01","69.15","83.41","377.5","455.35","0.99","0.87","0.17","0.17","1.76","2.44","1.8","1.89","687.3","687.2"
"ID0009 - 2","61","191","387.45","68.85","83.49","379","459.61","0.99","0.86","0.17","0.18","1.72","2.46","1.8","1.87","680","679.2"
"ID0009 - 2","60.5","191.31","390.61","69.25","85.2","385.5","474.27","0.99","0.86","0.17","0.18","1.8","2.39","1.77","1.86","660.7","660.4"
"ID0146 - 1","59","473.86","634.01","61.05","89.29","308.5","451.2","1.04","1.09","0.16","0.11","1.47","2.47","1.04","1.65","467.5","467"
"ID0146 - 1","59","438.21","625.92","63","93.11","318","469.99","1.03","1.09","0.18","0.13","1.63","2.58","1.17","1.82","457.8","457.5"
"ID0146 - 1","59.5","467.09","629.17","62","91.35","307","452.35","1.01","1.08","0.18","0.13","1.51","2.51","1.19","1.66","460.6","460.3"
"ID0146 - 1","60","456.5","627.41","63.75","91.95","310.5","447.84","1.06","1.11","0.14","0.06","1.61","2.5","0.9","1.78","480.7","481.9"
"ID0146 - 2","58.5","420.76","653.93","63.1","95.85","303.5","461.01","0.94","1.03","0.3","0.36","1.49","2.47","2.01","1.67","433.4","432.7"
"ID0146 - 2","59","455.75","660.99","60.05","90.62","303","457.26","1.04","1.09","0.28","0.36","1.47","2.61","1.85","1.51","439.1","439.1"
"ID0146 - 2","59","247.88","660.01","60.8","91.62","296.5","446.79","1.02","1.09","0.2","0.35","1.46","2.6","1.45","1.51","440.4","439.9"
"ID0146 - 2","60","254.14","656.09","61.5","92.76","292","440.41","0.99","1.06","0.21","0.34","1.43","2.55","1.56","1.53","439.6","438.8"
